Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Male,23.0,1,50.0,1,< 1 Year,No,2630.0,152.0,71,0
Male,58.0,1,8.0,0,1-2 Year,Yes,44567.0,26.0,288,0
Male,55.0,1,34.0,0,1-2 Year,Yes,26637.0,124.0,195,0
Male,28.0,1,28.0,0,< 1 Year,Yes,34957.0,152.0,38,0
Male,49.0,1,41.0,0,1-2 Year,Yes,2630.0,156.0,120,0
Female,39.0,1,28.0,0,1-2 Year,Yes,42959.0,152.0,42,0
Male,32.0,1,45.0,1,1-2 Year,Yes,2630.0,156.0,272,0
Male,58.0,1,28.0,0,1-2 Year,Yes,48462.0,26.0,126,0
Male,23.0,1,8.0,1,< 1 Year,No,38705.0,152.0,15,0
Female,48.0,1,28.0,0,1-2 Year,Yes,50021.0,13.0,89,1
Male,59.0,1,28.0,0,1-2 Year,Yes,31371.0,152.0,279,0
Female,72.0,1,48.0,1,1-2 Year,No,2630.0,15.0,245,0
Female,55.0,1,17.0,1,1-2 Year,No,57998.0,124.0,142,0
Female,42.0,1,41.0,0,1-2 Year,Yes,30157.0,124.0,93,0
Male,22.0,1,18.0,1,< 1 Year,No,27411.0,152.0,276,0
Male,65.0,1,18.0,1,1-2 Year,No,2630.0,26.0,188,0
Male,58.0,1,36.0,0,> 2 Years,Yes,29529.0,124.0,63,0
Male,49.0,1,26.0,1,1-2 Year,No,20771.0,22.0,196,0
Male,51.0,1,12.0,0,1-2 Year,No,43201.0,20.0,132,0
Male,56.0,1,28.0,0,1-2 Year,Yes,40895.0,26.0,188,0
Male,22.0,1,30.0,1,< 1 Year,No,36832.0,152.0,164,0
Female,38.0,1,8.0,0,1-2 Year,Yes,29097.0,26.0,128,0
Male,78.0,1,45.0,1,1-2 Year,No,19162.0,26.0,82,0
Female,23.0,1,28.0,1,< 1 Year,No,31024.0,152.0,86,0
Female,41.0,1,28.0,1,1-2 Year,No,49275.0,147.0,98,0
Male,23.0,1,6.0,1,< 1 Year,No,41104.0,152.0,292,0
